text,label,source,label_name
"Game changer! I have been struggling with this problem for years and this product solved it immediately. Simple, effective, and worth every penny.",2,product_reviews,positive
"Best purchase I have made this year. Instructions were clear, setup was easy, and performance is top notch. Five stars without hesitation.",2,product_reviews,positive
Lost my wallet today with everything in it. This week keeps getting worse,0,tweets,negative
Biggest waste of money I have spent in years. The product does nothing it claims to do and the customer service team was completely dismissive of my concerns.,0,product_reviews,negative
Cooked my first homemade pasta from scratch and it actually tasted amazing,2,tweets,positive
My flight got cancelled and they did not offer any compensation at all. Outrageous,0,tweets,negative
Watched the evening news before bed. Same topics as yesterday being discussed,1,tweets,neutral
Amazing purchase! The quality is incredible for this price point. I have bought many similar items and this is by far the best one I have owned.,2,product_reviews,positive
Terrible experience overall. Product did not work out of the box and the company made me jump through hoops just to get a replacement. Never buying again.,0,product_reviews,negative
Amazing product that has completely transformed my daily routine. Cannot imagine going back to my old method. Well worth the investment for sure.,2,product_reviews,positive
Neither impressed nor disappointed with this purchase. It does exactly what the listing says it does. Quality is appropriate for the price point.,1,product_reviews,neutral
"A perfectly average product in every sense of the word. Works as expected, nothing more. Would probably try a different brand next time to compare.",1,product_reviews,neutral
Best decision I made this year was buying this product. It solved my problem instantly and the quality is far better than anything else I tried before.,2,product_reviews,positive
Reconnected with an old friend today. Some friendships are truly timeless,2,tweets,positive
Just booked my dream vacation to Japan! I have wanted this for years now,2,tweets,positive
I bought this based on the positive reviews but I think they must be fake. The actual product is nothing like what is described and it broke within days.,0,product_reviews,negative
Product arrived on time and matches the description. Nothing particularly special about it but it does what it is supposed to do. Average quality.,1,product_reviews,neutral
My dog just learned a new trick. Cutest thing I have ever seen in my life,2,tweets,positive
Finally got the job offer I was waiting for. All the hard work paid off big time,2,tweets,positive
"Gym was overcrowded, equipment broken, and music was way too loud. Waste of time",0,tweets,negative
Called my mom to catch up. We talked for about fifteen minutes about general things,1,tweets,neutral
Does what it needs to do without any fuss. Not the best quality I have seen but certainly not the worst either. Reasonable value for the price paid.,1,product_reviews,neutral
The sunset today was absolutely breathtaking. Nature never fails to amaze me,2,tweets,positive
"Terrible product that does not match the description at all. The materials are cheap, construction is poor, and it does not function as advertised either.",0,product_reviews,negative
Extremely disappointed with this purchase. Stopped working after just two weeks of normal use. Return process was also a nightmare to deal with.,0,product_reviews,negative
Finally finished my marathon training! 26.2 miles here I come!,2,tweets,positive
Had a routine check up at the doctor. Everything came back completely normal,1,tweets,neutral
Picked up my dry cleaning after work. Normal Tuesday stuff as usual,1,tweets,neutral
It is okay. Not as impressive as I hoped but not terrible either. Does the basic job well enough. Probably will not repurchase but will not return it.,1,product_reviews,neutral
Just finished watching the news. Lots of things happening around the world today,1,tweets,neutral
Awful product that broke immediately. When I contacted support they told me it was user error even though I followed all the instructions exactly as written.,0,product_reviews,negative
My headphones broke after just two months of normal use. Very poor build quality,0,tweets,negative
Average product with average quality. Does what it says on the box and nothing more. Shipping was standard and the item arrived in acceptable condition.,1,product_reviews,neutral
Tried a new recipe for dinner tonight. It turned out okay but nothing special,1,tweets,neutral
Acceptable quality for the price. Would not say it is impressive but it gets the job done reliably enough. Packaging was fine and delivery was on time.,1,product_reviews,neutral
"Exactly what I needed! Sturdy, well-designed, and performs better than more expensive alternatives I have tried. Very responsive customer service too.",2,product_reviews,positive
My commute to work today took about thirty five minutes. About the usual time,1,tweets,neutral
"I am completely blown away by how well this works. Simple to use, durable, and effective. Exactly what the description says. No complaints whatsoever.",2,product_reviews,positive
My internet has been down for three days and the provider keeps giving excuses,0,tweets,negative
Finished the quarterly report today. Submitted it before the deadline as expected,1,tweets,neutral
Fantastic product with incredible attention to detail. You can tell the manufacturer really cares about quality. Will definitely buy from them again.,2,product_reviews,positive
Waited two hours at the doctor office only to be told to come back another day,0,tweets,negative
Truly exceptional product. I have been using it daily for three months and it still works as well as the day I bought it. Incredible value for money.,2,product_reviews,positive
Does not work as advertised for my use case at all. Very misleading product description. The dimensions were also significantly off from what was listed.,0,product_reviews,negative
"Avoid this product completely. It is poorly made, does not work as described, and the company has terrible customer service. Deeply regret this purchase.",0,product_reviews,negative
Had the best dinner with my parents tonight. These moments are truly priceless,2,tweets,positive
Watched a documentary about ocean life. Informative but not particularly exciting,1,tweets,neutral
A reasonable product at a fair price. Does what it claims to do without any major issues. Not something I would rave about but also not a complaint.,1,product_reviews,neutral
"Functional and straightforward. No frills, no surprises. If you just need something basic that works this will do the job. Nothing more, nothing less.",1,product_reviews,neutral
Third time calling customer support and they still have not resolved my issue,0,tweets,negative
Not bad but not great either. I was hoping for something a bit better at this price point. It works but there is definitely room for improvement here.,1,product_reviews,neutral
So proud of my team today! We crushed that presentation and the client loved everything,2,tweets,positive
Attended a work meeting this morning about next quarter planning activities,1,tweets,neutral
Decent product for the money. I have seen better and I have seen worse. It handles the basic tasks well enough for occasional use when needed.,1,product_reviews,neutral
"This is the worst product I have ever bought. Instructions were wrong, missing parts in the box, and customer support was completely unhelpful to me.",0,product_reviews,negative
"Wonderful product that has made my life so much easier. Easy to use, durable, and effective. Cannot recommend it highly enough to anyone who needs it.",2,product_reviews,positive
Disappointed does not begin to describe how I feel. This product is clearly designed to look good in photos but fails completely in actual real world use.,0,product_reviews,negative
"Five star product all the way! Easy to set up, works great, and looks exactly like the photos. My whole family has been enjoying it since day one.",2,product_reviews,positive
Walked to the post office to mail a package. Took about twenty minutes round trip,1,tweets,neutral
Very disappointed with this purchase. The product looks cheaply made in person and does not perform anywhere near as well as the marketing claims it does.,0,product_reviews,negative
"Standard quality, standard performance, standard experience overall. If you need a no frills basic option this fills that role adequately enough for most.",1,product_reviews,neutral
My garden is blooming beautifully this spring. So satisfying to see it grow,2,tweets,positive
Got a haircut today. The barber did a standard job as he usually does for me,1,tweets,neutral
After three months the color has faded completely and several parts have started to peel badly. For this price I expected much better longevity overall.,0,product_reviews,negative
My startup just got its first paying customer! This journey is becoming real!,2,tweets,positive
"Perfect in every way. Looks great, works great, and arrived quickly. I have already recommended this to three of my friends and colleagues at work.",2,product_reviews,positive
Terrible quality. It broke on the very first use. The company offers no real warranty support. Just automated responses. Avoid this seller completely.,0,product_reviews,negative
